machine,time,minute,value,x_px,y_px
0039,08:54,534,0,0,230
0039,09:06,546,0,6,230
0039,09:17,557,0,12,230
0039,09:25,565,0,16,230
0039,09:36,576,0,22,230
0039,09:47,587,0,28,230
0039,09:55,595,0,32,230
0039,10:06,606,-89,38,232
0039,10:25,625,776,48,212
0039,10:37,637,-89,54,232
0039,10:56,656,2414,64,174
0039,11:07,667,1897,70,186
0039,11:26,686,2759,80,166
0039,11:45,705,2328,90,176
0039,12:04,724,1293,100,200
0039,12:27,747,172,112,226
0039,12:46,766,-889,122,250
0039,13:05,785,-2222,132,280
0039,13:24,804,-1867,142,272
0039,13:47,827,-3378,154,306
0039,14:06,846,-4000,164,320
0039,14:26,866,-5156,174,346
0039,14:45,885,-6756,184,382
0039,15:08,908,-6133,196,368
0039,15:27,927,-4178,206,324
0039,15:45,945,1293,216,200
0039,16:08,968,6724,228,74
0039,16:27,987,9052,238,20
0039,16:46,1006,7759,248,50
0039,17:05,1025,6810,258,72
0039,17:28,1048,5345,270,106
0039,17:47,1067,4483,280,126
0039,18:06,1086,4310,290,130
0039,18:25,1105,3879,300,140
0039,18:47,1127,3621,312,146
0039,23:16,1396,3621,454,146
0040,08:54,534,0,0,230
0040,09:06,546,0,6,230
0040,09:17,557,0,12,230
0040,09:25,565,0,16,230
0040,09:36,576,0,22,230
0040,09:47,587,0,28,230
0040,09:55,595,0,32,230
0040,10:06,606,0,38,230
0040,10:25,625,4483,48,178
0040,10:37,637,6552,54,154
0040,10:56,656,8793,64,128
0040,11:07,667,10172,70,112
0040,11:26,686,8793,80,128
0040,11:45,705,7586,90,142
0040,12:04,724,6724,100,152
0040,12:27,747,4828,112,174
0040,12:46,766,5000,122,172
0040,13:05,785,4655,132,176
0040,13:24,804,9655,142,118
0040,13:47,827,8793,154,128
0040,14:06,846,11034,164,102
0040,14:26,866,9828,174,116
0040,14:45,885,8621,184,130
0040,15:08,908,7241,196,146
0040,15:27,927,5690,206,164
0040,15:45,945,4655,216,176
0040,16:08,968,3621,228,188
0040,16:27,987,5862,238,162
0040,16:46,1006,4310,248,180
0040,17:05,1025,3793,258,186
0040,18:06,1086,3276,290,192
0040,18:25,1105,4310,300,180
0040,18:47,1127,4310,312,180
0040,19:06,1146,3793,322,186
0040,19:25,1165,3103,332,194
0040,20:07,1207,2586,354,200
0040,23:16,1396,2586,454,200
0041,08:54,534,0,0,230
0041,09:06,546,0,6,230
0041,09:17,557,0,12,230
0041,09:25,565,0,16,230
0041,09:36,576,0,22,230
0041,09:47,587,0,28,230
0041,09:55,595,0,32,230
0041,10:06,606,0,38,230
0041,10:14,614,0,42,230
0041,10:25,625,0,48,230
0041,10:37,637,0,54,230
0041,10:44,644,0,58,230
0041,10:56,656,0,64,230
0041,11:07,667,0,70,230
0041,11:15,675,0,74,230
0041,11:26,686,0,80,230
0041,11:33,693,0,84,230
0041,11:45,705,-1067,90,242
0041,12:04,724,-2489,100,258
0041,12:27,747,-2311,112,256
0041,12:46,766,1034,122,218
0041,13:05,785,0,132,230
0041,13:24,804,-1778,142,250
0041,13:47,827,0,154,230
0041,14:06,846,517,164,224
0041,14:26,866,-1244,174,244
0041,14:45,885,-3022,184,264
