machine,time,minute,value,x_px,y_px
0039,08:54,534,0,0,230
0039,09:06,546,0,6,230
0039,09:17,557,0,12,230
0039,09:25,565,0,16,230
0039,09:36,576,0,22,230
0039,09:47,587,0,28,230
0039,09:55,595,0,32,230
0039,10:06,606,-444,38,240
0039,10:25,625,-800,48,248
0039,10:37,637,-1156,54,256
0039,10:56,656,-1511,64,264
0039,12:04,724,-1689,100,268
0039,12:27,747,-2400,112,284
0039,13:24,804,-2667,142,290
0039,13:47,827,-4267,154,326
0039,14:06,846,-4978,164,342
0039,14:26,866,-5867,174,362
0039,14:45,885,-6044,184,366
0039,15:45,945,-5333,216,350
0039,16:08,968,-6400,228,374
0039,16:27,987,-7022,238,388
0039,16:46,1006,-5422,248,352
0039,17:05,1025,-800,258,248
0039,17:28,1048,431,270,220
0039,18:06,1086,431,290,220
0039,18:25,1105,-1333,300,260
0039,18:47,1127,-2489,312,286
0039,20:07,1207,-3111,354,300
0039,20:26,1226,-3289,364,304
0039,21:08,1268,-3467,386,308
0039,21:27,1287,-3644,396,312
0039,23:16,1396,-3644,454,312
0040,08:54,534,0,0,230
0040,09:06,546,0,6,230
0040,09:17,557,0,12,230
0040,09:25,565,0,16,230
0040,09:36,576,0,22,230
0040,09:47,587,0,28,230
0040,09:55,595,0,32,230
0040,10:06,606,-356,38,234
0040,10:25,625,-533,48,236
0040,10:37,637,-711,54,238
0040,10:56,656,-889,64,240
0040,13:24,804,172,142,228
0040,13:47,827,1379,154,214
0040,14:06,846,345,164,226
0040,14:26,866,2069,174,206
0040,14:45,885,3448,184,190
0040,15:08,908,2414,196,202
0040,15:27,927,1034,206,218
0040,15:45,945,-356,216,234
0040,16:08,968,-1600,228,248
0040,16:27,987,-2844,238,262
0040,17:28,1048,-3022,270,264
0040,17:47,1067,-3556,280,270
0040,18:06,1086,-4444,290,280
0040,18:25,1105,-4800,300,284
0040,18:47,1127,-6400,312,302
0040,19:06,1146,-6756,322,306
0040,19:25,1165,-6756,332,306
0040,20:26,1226,-7289,364,312
0040,20:45,1245,-8889,374,330
0040,21:08,1268,-10311,386,346
0040,21:27,1287,-10133,396,344
0040,21:45,1305,-11200,406,356
0040,23:16,1396,-11200,454,356
0041,08:54,534,0,0,230
0041,09:06,546,0,6,230
0041,09:17,557,0,12,230
0041,09:25,565,0,16,230
0041,09:36,576,0,22,230
0041,09:47,587,0,28,230
0041,09:55,595,0,32,230
0041,10:06,606,0,38,230
0041,10:14,614,0,42,230
0041,10:25,625,0,48,230
0041,10:37,637,0,54,230
0041,10:56,656,-356,64,234
0041,11:26,686,-889,80,240
0041,11:45,705,-1244,90,244
0041,12:04,724,-1600,100,248
0041,12:27,747,-2311,112,256
0041,12:46,766,-2311,122,256
0041,13:05,785,-3200,132,266
0041,13:47,827,-4089,154,276
0041,14:06,846,-4089,164,276
0041,14:26,866,-4444,174,280
0041,14:45,885,-4978,184,286
0041,16:27,987,-4978,238,286
0041,16:46,1006,-6400,248,302
0041,17:05,1025,-6400,258,302
0041,17:28,1048,-7289,270,312
0041,17:47,1067,-8533,280,326
0041,18:06,1086,-9422,290,336
0041,18:25,1105,-9778,300,340
0041,19:06,1146,-10844,322,352
0041,19:25,1165,-11556,332,360
