machine,time,minute,value,x_px,y_px
0039,08:54,534,0,0,230
0039,09:06,546,0,6,230
0039,09:17,557,0,12,230
0039,09:25,565,0,16,230
0039,09:36,576,0,22,230
0039,09:47,587,0,28,230
0039,09:55,595,0,32,230
0039,10:06,606,0,38,230
0039,10:14,614,0,42,230
0039,10:25,625,0,48,230
0039,10:37,637,0,54,230
0039,10:44,644,0,58,230
0039,10:56,656,-89,64,232
0039,11:07,667,-178,70,234
0039,11:26,686,-1511,80,264
0039,11:45,705,-2756,90,292
0039,12:04,724,86,100,228
0039,12:27,747,0,112,230
0039,12:46,766,-1511,122,264
0039,13:05,785,-1689,132,268
0039,13:24,804,-3111,142,300
0039,13:47,827,-4178,154,324
0039,14:06,846,-5422,164,352
0039,14:26,866,-7022,174,388
0039,14:45,885,-8000,184,410
0039,15:08,908,-3911,196,318
0039,15:27,927,-3644,206,312
0039,15:45,945,-4889,216,340
0039,16:08,968,-6044,228,366
0039,16:27,987,-7467,238,398
0039,16:46,1006,-8444,248,420
0039,17:05,1025,-8000,258,410
0039,17:28,1048,-7200,270,392
0039,17:47,1067,-1867,280,272
0039,18:06,1086,517,290,218
0039,18:25,1105,172,300,226
0039,18:47,1127,-1156,312,256
0039,19:06,1146,-1511,322,264
0039,20:45,1245,-1600,374,266
0039,23:16,1396,-1600,454,266
0040,08:54,534,0,0,230
0040,09:06,546,0,6,230
0040,09:17,557,0,12,230
0040,09:25,565,0,16,230
0040,09:36,576,0,22,230
0040,09:47,587,0,28,230
0040,09:55,595,0,32,230
0040,10:06,606,0,38,230
0040,10:14,614,0,42,230
0040,10:25,625,-267,48,236
0040,10:37,637,-444,54,240
0040,11:26,686,-889,80,250
0040,11:45,705,-2400,90,284
0040,12:04,724,-2844,100,294
0040,12:27,747,-3911,112,318
0040,12:46,766,-4000,122,320
0040,13:24,804,948,142,208
0040,13:47,827,172,154,226
0040,14:06,846,-978,164,252
0040,14:26,866,-2756,174,292
0040,14:45,885,-2578,184,288
0040,15:08,908,1466,196,196
0040,15:27,927,172,206,226
0040,16:08,968,-178,228,234
0040,16:27,987,-622,238,244
0040,16:46,1006,-1778,248,270
0040,17:05,1025,-2311,258,282
0040,17:47,1067,-2489,280,286
0040,18:25,1105,-2578,300,288
0040,19:06,1146,-2756,322,292
0040,19:25,1165,-3289,332,304
0040,19:44,1184,-3733,342,314
0040,20:45,1245,-4089,374,322
0040,21:08,1268,-4533,386,332
0040,23:16,1396,-4533,454,332
0041,08:54,534,0,0,230
0041,09:06,546,0,6,230
0041,09:17,557,0,12,230
0041,09:25,565,0,16,230
0041,09:36,576,0,22,230
0041,09:47,587,0,28,230
0041,09:55,595,0,32,230
0041,10:06,606,0,38,230
0041,10:14,614,0,42,230
0041,10:25,625,0,48,230
0041,10:37,637,-711,54,238
0041,10:56,656,-1778,64,250
0041,11:07,667,-2311,70,256
0041,11:26,686,-3200,80,266
0041,12:04,724,-3556,100,270
0041,12:46,766,-3733,122,272
0041,13:05,785,-4622,132,282
0041,13:24,804,-4267,142,278
0041,13:47,827,-2489,154,258
0041,14:06,846,-1600,164,248
0041,14:26,866,3793,174,186
0041,14:45,885,7759,184,140
0041,15:08,908,10172,196,112
