machine,time,minute,value,x_px,y_px
0039,08:54,534,0,0,230
0039,09:06,546,0,6,230
0039,09:17,557,0,12,230
0039,09:25,565,0,16,230
0039,09:36,576,0,22,230
0039,09:47,587,0,28,230
0039,09:55,595,0,32,230
0039,10:06,606,0,38,230
0039,10:14,614,0,42,230
0039,10:25,625,0,48,230
0039,10:37,637,0,54,230
0039,10:44,644,0,58,230
0039,10:56,656,0,64,230
0039,11:07,667,-356,70,234
0039,11:26,686,-2133,80,254
0039,11:45,705,-1600,90,248
0039,12:04,724,-2489,100,258
0039,12:27,747,-2311,112,256
0039,12:46,766,-1422,122,246
0039,13:05,785,-2667,132,260
0039,13:24,804,-3733,142,272
0039,13:47,827,-5156,154,288
0039,14:06,846,-6400,164,302
0039,14:26,866,-7822,174,318
0039,14:45,885,-9422,184,336
0039,15:08,908,-10489,196,348
0039,15:27,927,-10133,206,344
0039,15:45,945,-11200,216,356
0039,16:08,968,-11911,228,364
0039,16:27,987,-8178,238,322
0039,16:46,1006,-9422,248,336
0039,17:05,1025,-10133,258,344
0039,17:28,1048,-8178,270,322
0039,17:47,1067,-5689,280,294
0039,18:06,1086,-4622,290,282
0039,18:25,1105,-6400,300,302
0039,18:47,1127,-7822,312,318
0039,19:06,1146,-6933,322,308
0039,19:25,1165,-6756,332,306
0039,19:44,1184,-6756,342,306
0039,20:07,1207,-7289,354,312
0039,21:08,1268,-7467,386,314
0039,21:27,1287,-7644,396,316
0039,23:16,1396,-7644,454,316
0040,08:54,534,0,0,230
0040,09:06,546,0,6,230
0040,09:17,557,0,12,230
0040,09:25,565,0,16,230
0040,09:36,576,0,22,230
0040,09:47,587,0,28,230
0040,09:55,595,0,32,230
0040,10:06,606,0,38,230
0040,10:14,614,0,42,230
0040,10:25,625,0,48,230
0040,10:37,637,0,54,230
0040,10:44,644,0,58,230
0040,10:56,656,0,64,230
0040,11:07,667,0,70,230
0040,11:15,675,0,74,230
0040,11:26,686,-1156,80,256
0040,11:45,705,-1244,90,258
0040,12:04,724,-1600,100,266
0040,12:27,747,-1422,112,262
0040,12:46,766,-3022,122,298
0040,13:05,785,948,132,208
0040,13:24,804,345,142,222
0040,13:47,827,2759,154,166
0040,14:06,846,1983,164,184
0040,14:26,866,690,174,214
0040,14:45,885,2845,184,164
0040,15:08,908,2586,196,170
0040,15:27,927,2414,206,174
0040,15:45,945,1293,216,200
0040,16:08,968,517,228,218
0040,16:27,987,-444,238,240
0040,16:46,1006,517,248,218
0040,17:05,1025,5776,258,96
0040,17:28,1048,8707,270,28
0040,17:47,1067,7759,280,50
0040,18:06,1086,7241,290,62
0040,18:25,1105,6552,300,78
0040,19:44,1184,6207,342,86
0040,20:07,1207,6121,354,88
0040,20:26,1226,5172,364,110
0040,20:45,1245,5000,374,114
0040,22:04,1324,4914,416,116
0040,23:16,1396,4914,454,116
0041,08:54,534,0,0,230
0041,09:06,546,0,6,230
0041,09:17,557,0,12,230
0041,09:25,565,0,16,230
0041,09:36,576,0,22,230
0041,09:47,587,0,28,230
0041,09:55,595,0,32,230
0041,10:06,606,0,38,230
0041,10:14,614,0,42,230
0041,10:25,625,0,48,230
0041,10:37,637,0,54,230
0041,10:44,644,0,58,230
