date,event_type,previous_value,current_value,details
2026-07-18,COMPONENT_REORDER,3-2-1,2-1-3,LONG-MID-SHORT rank signature changed
2026-07-19,COMPONENT_REORDER,2-1-3,1-3-2,LONG-MID-SHORT rank signature changed
2026-07-20,LONG_PERIOD_SHIFT,2.6666666666666665,10.666666666666666,absolute pct change=3.000
2026-07-20,MID_PERIOD_SHIFT,2.4615384615384617,4.0,absolute pct change=0.625
2026-07-20,COMPONENT_REORDER,1-3-2,2-3-1,LONG-MID-SHORT rank signature changed
2026-07-20,REGIME_TO_UNSTABLE,TRANSITION,UNSTABLE,period-regime classification changed
2026-07-21,MID_PERIOD_SHIFT,4.0,6.4,absolute pct change=0.600
2026-07-21,COMPONENT_REORDER,2-3-1,1-2-3,LONG-MID-SHORT rank signature changed
2026-07-22,REGIME_TO_TRANSITION,UNSTABLE,TRANSITION,period-regime classification changed
2026-07-23,REGIME_TO_STABLE,TRANSITION,STABLE,period-regime classification changed
2026-07-24,MID_PERIOD_SHIFT,6.4,2.909090909090909,absolute pct change=0.545
2026-07-24,COMPONENT_REORDER,1-2-3,1-3-2,LONG-MID-SHORT rank signature changed
2026-07-24,REGIME_TO_UNSTABLE,STABLE,UNSTABLE,period-regime classification changed
2026-07-25,REGIME_TO_STABLE,UNSTABLE,STABLE,period-regime classification changed
2026-07-29,FFT_SIZE_CHANGE,32,64,frequency-bin resolution changed
2026-07-29,COMPONENT_REORDER,1-3-2,2-1-3,LONG-MID-SHORT rank signature changed
2026-07-29,JOINT_REPEAT_CHANGE,32,64,LCM of discrete component repeat periods changed
2026-07-29,REGIME_TO_UNSTABLE,STABLE,UNSTABLE,period-regime classification changed
2026-07-30,REGIME_TO_STABLE,UNSTABLE,STABLE,period-regime classification changed
2026-07-31,MID_PERIOD_SHIFT,10.666666666666666,2.909090909090909,absolute pct change=0.727
2026-07-31,COMPONENT_REORDER,2-1-3,1-3-2,LONG-MID-SHORT rank signature changed
2026-07-31,REGIME_TO_UNSTABLE,STABLE,UNSTABLE,period-regime classification changed
2026-08-01,MID_PERIOD_SHIFT,2.909090909090909,10.666666666666666,absolute pct change=2.667
2026-08-01,COMPONENT_REORDER,1-3-2,2-3-1,LONG-MID-SHORT rank signature changed
2026-08-02,MID_PERIOD_SHIFT,10.666666666666666,2.909090909090909,absolute pct change=0.727
2026-08-02,COMPONENT_REORDER,2-3-1,3-2-1,LONG-MID-SHORT rank signature changed
2026-08-03,REGIME_TO_STABLE,UNSTABLE,STABLE,period-regime classification changed
2026-08-04,JOINT_REPEAT_CHANGE,64,32,LCM of discrete component repeat periods changed
2026-08-04,REGIME_TO_TRANSITION,STABLE,TRANSITION,period-regime classification changed
2026-08-05,LONG_PERIOD_SHIFT,10.666666666666666,12.8,absolute pct change=0.200
2026-08-05,JOINT_REPEAT_CHANGE,32,64,LCM of discrete component repeat periods changed
2026-08-06,COMPONENT_REORDER,3-2-1,3-1-2,LONG-MID-SHORT rank signature changed
2026-08-06,JOINT_REPEAT_CHANGE,64,32,LCM of discrete component repeat periods changed
2026-08-07,MID_PERIOD_SHIFT,2.909090909090909,4.0,absolute pct change=0.375
2026-08-07,COMPONENT_REORDER,3-1-2,2-3-1,LONG-MID-SHORT rank signature changed
2026-08-08,MID_PERIOD_SHIFT,4.0,2.909090909090909,absolute pct change=0.273
2026-08-09,MID_PERIOD_SHIFT,2.909090909090909,4.0,absolute pct change=0.375
2026-08-10,MID_PERIOD_SHIFT,4.0,2.909090909090909,absolute pct change=0.273
2026-08-10,COMPONENT_REORDER,2-3-1,1-2-3,LONG-MID-SHORT rank signature changed
2026-08-11,REGIME_TO_STABLE,TRANSITION,STABLE,period-regime classification changed
