machine,time,minute,value,x_px,y_px
0039,08:54,534,0,0,230
0039,09:06,546,0,6,230
0039,09:17,557,0,12,230
0039,09:25,565,0,16,230
0039,09:36,576,0,22,230
0039,09:47,587,0,28,230
0039,09:55,595,0,32,230
0039,10:06,606,0,38,230
0039,10:14,614,0,42,230
0039,10:25,625,0,48,230
0039,10:37,637,0,54,230
0039,10:44,644,0,58,230
0039,10:56,656,0,64,230
0039,11:07,667,0,70,230
0039,11:15,675,0,74,230
0039,11:26,686,-444,80,240
0039,11:45,705,-711,90,246
0039,12:46,766,-800,122,248
0039,13:05,785,-1333,132,260
0039,13:24,804,-1956,142,274
0039,13:47,827,-2400,154,284
0039,14:06,846,-2489,164,286
0039,14:26,866,-3378,174,306
0039,14:45,885,-4711,184,336
0039,15:08,908,-5689,196,358
0039,15:27,927,-7200,206,392
0039,15:45,945,-8356,216,418
0039,16:08,968,-3022,228,298
0039,16:27,987,-2489,238,286
0039,16:46,1006,-3111,248,300
0039,17:05,1025,-4000,258,320
0039,17:28,1048,2586,270,170
0039,17:47,1067,1293,280,200
0039,18:06,1086,86,290,228
0039,18:25,1105,-1689,300,268
0039,18:47,1127,-2222,312,280
0039,19:25,1165,-2489,332,286
0039,20:26,1226,-2578,364,288
0039,20:45,1245,-3556,374,310
0039,21:08,1268,-4089,386,322
0039,21:27,1287,-5156,396,346
0039,22:27,1347,-5422,428,352
0039,23:16,1396,-5422,454,352
0040,08:54,534,0,0,230
0040,09:06,546,0,6,230
0040,09:17,557,0,12,230
0040,09:25,565,0,16,230
0040,09:36,576,0,22,230
0040,09:47,587,0,28,230
0040,09:55,595,0,32,230
0040,10:06,606,0,38,230
0040,10:14,614,0,42,230
0040,10:25,625,0,48,230
0040,10:37,637,0,54,230
0040,10:44,644,0,58,230
0040,10:56,656,0,64,230
0040,11:07,667,0,70,230
0040,11:15,675,0,74,230
0040,11:26,686,2586,80,200
0040,12:27,747,1034,112,218
0040,12:46,766,2759,122,198
0040,13:05,785,5517,132,166
0040,13:24,804,12241,142,88
0040,13:47,827,11724,154,94
0040,14:06,846,12586,164,84
0040,14:26,866,11379,174,98
0040,14:45,885,10690,184,106
0040,15:08,908,9828,196,116
0040,15:27,927,8448,206,132
0040,15:45,945,8276,216,134
0040,16:08,968,9138,228,124
0040,16:27,987,8103,238,136
0040,16:46,1006,7069,248,148
0040,17:05,1025,5690,258,164
0040,17:28,1048,5172,270,170
0040,17:47,1067,4655,280,176
0040,18:06,1086,3448,290,190
0040,18:25,1105,3448,300,190
0040,18:47,1127,2759,312,198
0040,19:25,1165,2414,332,202
0040,20:45,1245,1552,374,212
0040,21:27,1287,2069,396,206
0040,21:45,1305,1897,406,208
0040,22:04,1324,1552,416,212
0040,23:16,1396,1552,454,212
0041,08:54,534,0,0,230
0041,09:06,546,0,6,230
0041,09:17,557,0,12,230
0041,09:25,565,0,16,230
0041,09:36,576,0,22,230
0041,09:47,587,0,28,230
0041,09:55,595,0,32,230
0041,10:06,606,0,38,230
0041,10:14,614,0,42,230
0041,10:25,625,0,48,230
0041,10:37,637,0,54,230
0041,10:44,644,0,58,230
0041,10:56,656,0,64,230
0041,11:07,667,0,70,230
0041,11:15,675,0,74,230
