machine,time,minute,value,x_px,y_px
0039,08:54,534,0,0,230
0039,09:06,546,0,6,230
0039,09:17,557,0,12,230
0039,09:25,565,0,16,230
0039,09:36,576,0,22,230
0039,09:47,587,0,28,230
0039,09:55,595,0,32,230
0039,10:06,606,0,38,230
0039,10:14,614,0,42,230
0039,10:25,625,0,48,230
0039,10:37,637,0,54,230
0039,10:44,644,0,58,230
0039,10:56,656,0,64,230
0039,11:07,667,0,70,230
0039,11:15,675,0,74,230
0039,11:26,686,0,80,230
0039,12:46,766,-533,122,236
0039,13:05,785,-1067,132,242
0039,13:24,804,-1778,142,250
0039,13:47,827,-2844,154,262
0039,14:06,846,2759,164,198
0039,14:26,866,2069,174,206
0039,14:45,885,4483,184,178
0039,15:08,908,3966,196,184
0039,15:27,927,2241,206,204
0039,15:45,945,1034,216,218
0039,16:08,968,517,228,224
0039,16:46,1006,517,248,224
0039,17:05,1025,-711,258,238
0039,17:28,1048,2069,270,206
0039,17:47,1067,6379,280,156
0039,18:06,1086,7759,290,140
0039,18:25,1105,7586,300,142
0039,19:25,1165,9483,332,120
0039,19:44,1184,10690,342,106
0039,20:45,1245,10517,374,108
0039,23:16,1396,10517,454,108
0040,08:54,534,0,0,230
0040,09:06,546,0,6,230
0040,09:17,557,0,12,230
0040,09:25,565,0,16,230
0040,09:36,576,0,22,230
0040,09:47,587,0,28,230
0040,09:55,595,0,32,230
0040,10:06,606,0,38,230
0040,10:14,614,0,42,230
0040,10:25,625,0,48,230
0040,10:37,637,0,54,230
0040,10:44,644,0,58,230
0040,10:56,656,-356,64,234
0040,11:07,667,-711,70,238
0040,11:26,686,-889,80,240
0040,11:45,705,-1244,90,244
0040,12:04,724,-1956,100,252
0040,12:27,747,-2667,112,260
0040,13:05,785,-3378,132,268
0040,13:24,804,-3911,142,274
0040,13:47,827,-4444,154,280
0040,14:06,846,-4444,164,280
0040,14:26,866,-6044,174,298
0040,14:45,885,-7289,184,312
0040,15:08,908,-8178,196,322
0040,15:27,927,-9067,206,332
0040,15:45,945,-9422,216,336
0040,16:08,968,-10133,228,344
0040,16:27,987,-11733,238,362
0040,16:46,1006,-11378,248,358
0040,17:05,1025,-8889,258,330
0040,17:28,1048,-10311,270,346
0040,18:25,1105,-11378,300,358
0040,18:47,1127,-11556,312,360
0040,19:06,1146,-12267,322,368
0040,19:25,1165,-12444,332,370
0040,19:44,1184,-12444,342,370
0040,20:07,1207,-12978,354,376
0040,23:16,1396,-12978,454,376
0041,08:54,534,0,0,230
0041,09:06,546,0,6,230
0041,09:17,557,0,12,230
0041,09:25,565,0,16,230
0041,09:36,576,0,22,230
0041,09:47,587,0,28,230
0041,09:55,595,0,32,230
0041,10:06,606,0,38,230
0041,10:14,614,0,42,230
0041,10:25,625,0,48,230
0041,10:37,637,0,54,230
0041,10:44,644,0,58,230
0041,10:56,656,0,64,230
0041,11:07,667,0,70,230
0041,11:15,675,0,74,230
0041,11:26,686,0,80,230
0041,11:33,693,0,84,230
0041,11:45,705,0,90,230
0041,11:56,716,0,96,230
0041,12:04,724,0,100,230
0041,12:15,735,0,106,230
0041,12:27,747,-356,112,234
0041,13:24,804,-533,142,236
0041,14:26,866,1724,174,210
