order,time,machine,group,source
1,10:35,0064,g1,PSCUBE history CSV status=初当り
2,10:37,0048,g3,PSCUBE history CSV status=初当り
3,10:47,0065,g2,PSCUBE history CSV status=初当り
4,11:11,0040,g4,PSCUBE history CSV status=初当り
5,11:26,0060,g6,PSCUBE history CSV status=初当り
6,11:30,0070,g7,PSCUBE history CSV status=初当り
7,11:36,0058,g4,PSCUBE history CSV status=初当り
8,11:50,0075,g3,PSCUBE history CSV status=初当り
9,12:13,0077,g5,PSCUBE history CSV status=初当り
10,12:15,0054,g9,PSCUBE history CSV status=初当り
11,12:20,0059,g5,PSCUBE history CSV status=初当り
12,12:21,0068,g5,PSCUBE history CSV status=初当り
13,12:23,0066,g3,PSCUBE history CSV status=初当り
14,12:33,0047,g2,PSCUBE history CSV status=初当り
15,12:37,0074,g2,PSCUBE history CSV status=初当り
16,13:05,0043,g7,PSCUBE history CSV status=初当り
17,13:07,0073,g1,PSCUBE history CSV status=初当り
18,13:10,0053,g8,PSCUBE history CSV status=初当り
19,13:14,0057,g3,PSCUBE history CSV status=初当り
20,13:25,0055,g1,PSCUBE history CSV status=初当り
21,13:39,0072,g9,PSCUBE history CSV status=初当り
22,13:43,0046,g1,PSCUBE history CSV status=初当り
23,13:44,0049,g4,PSCUBE history CSV status=初当り
24,13:49,0067,g4,PSCUBE history CSV status=初当り
25,13:51,0045,g9,PSCUBE history CSV status=初当り
26,14:01,0069,g6,PSCUBE history CSV status=初当り
27,14:21,0039,g3,PSCUBE history CSV status=初当り
28,14:29,0063,g9,PSCUBE history CSV status=初当り
29,14:48,0050,g5,PSCUBE history CSV status=初当り
30,14:56,0056,g2,PSCUBE history CSV status=初当り
31,15:14,0041,g5,PSCUBE history CSV status=初当り
32,15:21,0044,g8,PSCUBE history CSV status=初当り
33,15:28,0076,g4,PSCUBE history CSV status=初当り
34,15:41,0052,g7,PSCUBE history CSV status=初当り
35,15:45,0071,g8,PSCUBE history CSV status=初当り
36,15:53,0062,g8,PSCUBE history CSV status=初当り
37,15:54,0051,g6,PSCUBE history CSV status=初当り
38,19:16,0042,g6,PSCUBE history CSV status=初当り
