machine,time,minute,value,x_px,y_px
0039,08:54,534,0,0,230
0039,09:06,546,0,6,230
0039,09:17,557,0,12,230
0039,09:25,565,0,16,230
0039,09:36,576,0,22,230
0039,09:47,587,0,28,230
0039,09:55,595,0,32,230
0039,10:06,606,0,38,230
0039,10:14,614,0,42,230
0039,10:25,625,0,48,230
0039,10:37,637,0,54,230
0039,10:44,644,0,58,230
0039,10:56,656,-444,64,240
0039,11:07,667,-889,70,250
0039,11:26,686,-1600,80,266
0039,12:04,724,-2133,100,278
0039,12:27,747,-2222,112,280
0039,13:24,804,-3556,142,310
0039,13:47,827,-5244,154,348
0039,14:06,846,-6489,164,376
0039,14:26,866,-5689,174,358
0039,14:45,885,-3467,184,308
0039,15:08,908,3448,196,150
0039,15:27,927,2759,206,166
0039,15:45,945,1466,216,196
0039,16:08,968,345,228,222
0039,16:27,987,-1244,238,258
0039,16:46,1006,-1511,248,264
0039,17:05,1025,-1867,258,272
0039,17:28,1048,-2222,270,280
0039,17:47,1067,-3022,280,298
0039,18:06,1086,-3200,290,302
0039,18:25,1105,-3556,300,310
0039,18:47,1127,-4178,312,324
0039,19:06,1146,-5422,322,352
0039,19:25,1165,-5867,332,362
0039,19:44,1184,-6044,342,366
0039,20:45,1245,-6311,374,372
0039,21:08,1268,-6844,386,384
0039,23:16,1396,-6844,454,384
0040,08:54,534,0,0,230
0040,09:06,546,0,6,230
0040,09:17,557,0,12,230
0040,09:25,565,0,16,230
0040,09:36,576,0,22,230
0040,09:47,587,0,28,230
0040,09:55,595,0,32,230
0040,10:06,606,0,38,230
0040,10:14,614,0,42,230
0040,10:25,625,-267,48,236
0040,10:37,637,-1511,54,264
0040,10:56,656,-2578,64,288
0040,11:07,667,-3111,70,300
0040,11:26,686,1810,80,188
0040,11:45,705,2586,90,170
0040,12:04,724,1983,100,184
0040,12:27,747,431,112,220
0040,12:46,766,-800,122,248
0040,13:05,785,-1600,132,266
0040,13:24,804,-3022,142,298
0040,13:47,827,-4622,154,334
0040,14:06,846,-5956,164,364
0040,14:26,866,-7733,174,404
0040,14:45,885,-9333,184,440
0040,15:08,908,-7289,196,394
0040,15:27,927,-5689,206,358
0040,15:45,945,-7111,216,390
0040,16:08,968,-8089,228,412
0040,16:27,987,-9333,238,440
0040,17:05,1025,-9867,258,452
0040,17:28,1048,-7911,270,408
0040,17:47,1067,-5511,280,354
0040,18:25,1105,-4267,300,326
0040,18:47,1127,-4356,312,328
0040,19:06,1146,-5333,322,350
0040,19:25,1165,-5600,332,356
0040,20:26,1226,-5778,364,360
0040,20:45,1245,-6667,374,380
0040,21:08,1268,-4178,386,324
0040,21:27,1287,-89,396,232
0040,21:45,1305,-978,406,252
0040,22:04,1324,2931,416,162
0040,22:27,1347,3793,428,142
0040,23:16,1396,3793,454,142
0041,08:54,534,0,0,230
0041,09:06,546,0,6,230
0041,09:17,557,0,12,230
0041,09:25,565,0,16,230
0041,09:36,576,0,22,230
0041,09:47,587,0,28,230
0041,09:55,595,0,32,230
0041,10:06,606,0,38,230
0041,10:14,614,0,42,230
0041,10:25,625,0,48,230
0041,10:37,637,0,54,230
0041,10:44,644,0,58,230
0041,10:56,656,-178,64,232
0041,12:27,747,-533,112,236
