date,event_type,previous_value,current_value,details
2026-07-18,LONG_PERIOD_SHIFT,4.571428571428571,2.909090909090909,absolute pct change=0.364
2026-07-18,COMPONENT_REORDER,2-3-1,2-1-3,LONG-MID-SHORT rank signature changed
2026-07-18,REGIME_TO_UNSTABLE,TRANSITION,UNSTABLE,period-regime classification changed
2026-07-19,COMPONENT_REORDER,2-1-3,3-1-2,LONG-MID-SHORT rank signature changed
2026-07-19,REGIME_TO_TRANSITION,UNSTABLE,TRANSITION,period-regime classification changed
2026-07-20,LONG_PERIOD_SHIFT,2.909090909090909,5.333333333333333,absolute pct change=0.833
2026-07-20,SHORT_PERIOD_SHIFT,2.0,2.4615384615384617,absolute pct change=0.231
2026-07-20,COMPONENT_REORDER,3-1-2,3-2-1,LONG-MID-SHORT rank signature changed
2026-07-20,REGIME_TO_UNSTABLE,TRANSITION,UNSTABLE,period-regime classification changed
2026-07-21,REGIME_TO_STABLE,UNSTABLE,STABLE,period-regime classification changed
2026-07-23,COMPONENT_REORDER,3-2-1,2-3-1,LONG-MID-SHORT rank signature changed
2026-07-23,REGIME_TO_TRANSITION,STABLE,TRANSITION,period-regime classification changed
2026-07-24,REGIME_TO_STABLE,TRANSITION,STABLE,period-regime classification changed
2026-07-26,COMPONENT_REORDER,2-3-1,2-1-3,LONG-MID-SHORT rank signature changed
2026-07-26,REGIME_TO_TRANSITION,STABLE,TRANSITION,period-regime classification changed
2026-07-27,COMPONENT_REORDER,2-1-3,2-3-1,LONG-MID-SHORT rank signature changed
2026-07-28,COMPONENT_REORDER,2-3-1,3-2-1,LONG-MID-SHORT rank signature changed
2026-07-29,FFT_SIZE_CHANGE,32,64,frequency-bin resolution changed
2026-07-29,JOINT_REPEAT_CHANGE,32,64,LCM of discrete component repeat periods changed
2026-07-29,REGIME_TO_UNSTABLE,TRANSITION,UNSTABLE,period-regime classification changed
2026-07-30,COMPONENT_REORDER,3-2-1,3-1-2,LONG-MID-SHORT rank signature changed
2026-07-30,REGIME_TO_TRANSITION,UNSTABLE,TRANSITION,period-regime classification changed
2026-07-31,REGIME_TO_STABLE,TRANSITION,STABLE,period-regime classification changed
2026-08-02,COMPONENT_REORDER,3-1-2,3-2-1,LONG-MID-SHORT rank signature changed
2026-08-02,REGIME_TO_TRANSITION,STABLE,TRANSITION,period-regime classification changed
2026-08-03,REGIME_TO_STABLE,TRANSITION,STABLE,period-regime classification changed
2026-08-04,COMPONENT_REORDER,3-2-1,2-1-3,LONG-MID-SHORT rank signature changed
2026-08-04,REGIME_TO_TRANSITION,STABLE,TRANSITION,period-regime classification changed
2026-08-05,REGIME_TO_STABLE,TRANSITION,STABLE,period-regime classification changed
2026-08-08,LONG_PERIOD_SHIFT,4.923076923076923,7.111111111111111,absolute pct change=0.444
2026-08-08,MID_PERIOD_SHIFT,2.56,4.923076923076923,absolute pct change=0.923
2026-08-08,COMPONENT_REORDER,2-1-3,3-2-1,LONG-MID-SHORT rank signature changed
2026-08-08,REGIME_TO_UNSTABLE,STABLE,UNSTABLE,period-regime classification changed
2026-08-09,MID_PERIOD_SHIFT,4.923076923076923,2.56,absolute pct change=0.480
2026-08-09,COMPONENT_REORDER,3-2-1,3-1-2,LONG-MID-SHORT rank signature changed
2026-08-10,COMPONENT_REORDER,3-1-2,2-3-1,LONG-MID-SHORT rank signature changed
2026-08-10,REGIME_TO_TRANSITION,UNSTABLE,TRANSITION,period-regime classification changed
2026-08-11,REGIME_TO_STABLE,TRANSITION,STABLE,period-regime classification changed
2026-08-15,COMPONENT_REORDER,2-3-1,1-3-2,LONG-MID-SHORT rank signature changed
2026-08-15,REGIME_TO_TRANSITION,STABLE,TRANSITION,period-regime classification changed
