machine,time,minute,value,x_px,y_px
0039,08:54,534,0,0,240
0039,09:06,546,0,6,240
0039,09:17,557,0,12,240
0039,09:25,565,0,16,240
0039,09:36,576,0,22,240
0039,09:47,587,0,28,240
0039,09:55,595,0,32,240
0039,10:06,606,0,38,240
0039,10:14,614,0,42,240
0039,10:25,625,0,48,240
0039,10:37,637,0,54,240
0039,10:44,644,0,58,240
0039,10:56,656,0,64,240
0039,11:07,667,0,70,240
0039,11:15,675,0,74,240
0039,11:26,686,0,80,240
0039,11:33,693,0,84,240
0039,11:45,705,0,90,240
0039,11:56,716,0,96,240
0039,12:04,724,0,100,240
0039,12:27,747,-1021,112,248
0039,13:47,827,-2298,154,258
0039,14:06,846,-3319,164,266
0039,14:26,866,-4340,174,274
0039,14:45,885,-5872,184,286
0039,15:08,908,-3574,196,268
0039,15:27,927,-3574,206,268
0039,15:45,945,-4596,216,276
0039,16:27,987,-5617,238,284
0039,16:46,1006,-7149,248,296
0039,17:05,1025,-8426,258,306
0039,17:28,1048,-9957,270,318
0039,17:47,1067,-11234,280,328
0039,18:06,1086,-12255,290,336
0039,18:25,1105,-14043,300,350
0039,18:47,1127,-15319,312,360
0039,19:06,1146,-16596,322,370
0039,19:25,1165,-16085,332,366
0039,19:44,1184,-17106,342,374
0039,20:07,1207,-18383,354,384
0039,20:26,1226,-19915,364,396
0039,20:45,1245,-20936,374,404
0039,21:08,1268,-21957,386,412
0039,21:27,1287,-23489,396,424
0039,21:45,1305,-24511,406,432
0039,22:04,1324,-25787,416,442
0039,22:27,1347,-25787,428,442
0039,22:46,1366,-25787,438,442
0039,23:16,1396,-25787,454,442
0040,08:54,534,0,0,230
0040,09:06,546,0,6,230
0040,09:17,557,0,12,230
0040,09:25,565,0,16,230
0040,09:36,576,0,22,230
0040,09:47,587,0,28,230
0040,09:55,595,0,32,230
0040,10:06,606,0,38,230
0040,10:14,614,0,42,230
0040,10:25,625,0,48,230
0040,10:37,637,0,54,230
0040,10:44,644,0,58,230
0040,10:56,656,-178,64,234
0040,11:45,705,-889,90,250
0040,12:04,724,-978,100,252
0040,12:27,747,-1067,112,254
0040,12:46,766,-1600,122,266
0040,13:24,804,-2222,142,280
0040,13:47,827,-3378,154,306
0040,14:06,846,-3822,164,316
0040,14:26,866,-4178,174,324
0040,14:45,885,-2044,184,276
0040,15:08,908,-3022,196,298
0040,15:27,927,-3022,206,298
0040,15:45,945,-2844,216,294
0040,16:08,968,-3289,228,304
0040,16:46,1006,-3378,248,306
0040,17:05,1025,-4178,258,324
0040,17:28,1048,-5689,270,358
0040,17:47,1067,-3378,280,306
0040,18:06,1086,-3467,290,308
0040,19:06,1146,-1778,322,270
0040,19:25,1165,0,332,230
0040,21:27,1287,-89,396,232
0040,21:45,1305,-178,406,234
0040,23:16,1396,-178,454,234
0041,08:54,534,0,0,230
0041,09:06,546,0,6,230
0041,09:17,557,0,12,230
0041,09:25,565,0,16,230
0041,09:36,576,0,22,230
0041,09:47,587,0,28,230
0041,09:55,595,0,32,230
0041,10:06,606,0,38,230
0041,10:14,614,0,42,230
0041,10:25,625,0,48,230
0041,10:37,637,0,54,230
0041,10:44,644,0,58,230
0041,10:56,656,0,64,230
0041,11:07,667,690,70,222
0041,11:26,686,4828,80,174
