machine,time,minute,value,x_px,y_px
0039,08:54,534,0,0,230
0039,09:06,546,0,6,230
0039,09:17,557,0,12,230
0039,09:25,565,0,16,230
0039,09:36,576,0,22,230
0039,09:47,587,0,28,230
0039,09:55,595,0,32,230
0039,10:06,606,-356,38,234
0039,10:25,625,-1244,48,244
0039,10:56,656,-1600,64,248
0039,11:07,667,-2133,70,254
0039,11:26,686,-3022,80,264
0039,11:45,705,-3200,90,266
0039,12:04,724,-3378,100,268
0039,12:27,747,-4089,112,276
0039,12:46,766,-4622,122,282
0039,13:24,804,-5689,142,294
0039,13:47,827,-6578,154,304
0039,14:06,846,-7644,164,316
0039,14:26,866,-7467,174,314
0039,14:45,885,-8711,184,328
0039,15:08,908,-8889,196,330
0039,15:27,927,-10489,206,348
0039,15:45,945,-11556,216,360
0039,16:08,968,-12622,228,372
0039,16:27,987,-14400,238,392
0039,16:46,1006,-7467,248,314
0039,17:05,1025,-6756,258,306
0039,17:28,1048,-7644,270,316
0039,17:47,1067,-8000,280,320
0039,18:06,1086,-8178,290,322
0039,18:25,1105,-8178,300,322
0039,18:47,1127,-8711,312,328
0039,19:06,1146,-8711,322,328
0039,19:25,1165,-8889,332,330
0039,19:44,1184,-9422,342,336
0039,20:45,1245,-9422,374,336
0039,21:08,1268,-10667,386,350
0039,21:27,1287,-11911,396,364
0039,21:45,1305,-9778,406,340
0039,22:04,1324,-5511,416,292
0039,22:27,1347,-356,428,234
0039,23:16,1396,-356,454,234
0040,08:54,534,0,0,230
0040,09:06,546,0,6,230
0040,09:17,557,0,12,230
0040,09:25,565,0,16,230
0040,09:36,576,0,22,230
0040,09:47,587,0,28,230
0040,09:55,595,0,32,230
0040,10:06,606,-178,38,234
0040,10:25,625,-711,48,246
0040,10:37,637,-1867,54,272
0040,10:56,656,-3022,64,298
0040,11:07,667,-3467,70,308
0040,11:26,686,-4889,80,340
0040,11:45,705,-6222,90,370
0040,12:04,724,-6667,100,380
0040,12:27,747,-6933,112,386
0040,12:46,766,-6222,122,370
0040,13:05,785,-3644,132,312
0040,13:24,804,-5067,142,344
0040,13:47,827,-5511,154,354
0040,14:06,846,-6133,164,368
0040,14:26,866,-6667,174,380
0040,14:45,885,-4711,184,336
0040,15:08,908,-1867,196,272
0040,15:27,927,-2133,206,278
0040,15:45,945,-3467,216,308
0040,16:08,968,-4267,228,326
0040,16:27,987,-3556,238,310
0040,16:46,1006,-3644,248,312
0040,17:05,1025,-4356,258,328
0040,17:28,1048,-4978,270,342
0040,17:47,1067,-5600,280,356
0040,18:06,1086,-6489,290,376
0040,18:25,1105,-7289,300,394
0040,18:47,1127,-6400,312,374
0040,19:06,1146,-5333,322,350
0040,19:25,1165,-6133,332,368
0040,19:44,1184,-6489,342,376
0040,20:26,1226,-6844,364,384
0040,21:08,1268,-7111,386,390
0040,21:45,1305,-7200,406,392
0040,22:04,1324,-7111,416,390
0040,22:27,1347,-7289,428,394
0040,23:16,1396,-7289,454,394
0041,08:54,534,0,0,230
0041,09:06,546,0,6,230
0041,09:17,557,0,12,230
0041,09:25,565,0,16,230
0041,09:36,576,0,22,230
0041,09:47,587,0,28,230
0041,09:55,595,0,32,230
0041,10:06,606,0,38,230
