date,event_type,previous_value,current_value,details
2026-07-18,REGIME_TO_STABLE,TRANSITION,STABLE,period-regime classification changed
2026-07-19,LONG_PERIOD_SHIFT,16.0,5.333333333333333,absolute pct change=0.667
2026-07-19,MID_PERIOD_SHIFT,5.333333333333333,2.6666666666666665,absolute pct change=0.500
2026-07-19,COMPONENT_REORDER,3-2-1,1-3-2,LONG-MID-SHORT rank signature changed
2026-07-19,REGIME_TO_UNSTABLE,STABLE,UNSTABLE,period-regime classification changed
2026-07-20,COMPONENT_REORDER,1-3-2,1-2-3,LONG-MID-SHORT rank signature changed
2026-07-20,REGIME_TO_TRANSITION,UNSTABLE,TRANSITION,period-regime classification changed
2026-07-21,COMPONENT_REORDER,1-2-3,1-3-2,LONG-MID-SHORT rank signature changed
2026-07-22,REGIME_TO_STABLE,TRANSITION,STABLE,period-regime classification changed
2026-07-23,COMPONENT_REORDER,1-3-2,1-2-3,LONG-MID-SHORT rank signature changed
2026-07-23,REGIME_TO_TRANSITION,STABLE,TRANSITION,period-regime classification changed
2026-07-24,LONG_PERIOD_SHIFT,5.333333333333333,10.666666666666666,absolute pct change=1.000
2026-07-24,MID_PERIOD_SHIFT,2.6666666666666665,5.333333333333333,absolute pct change=1.000
2026-07-24,COMPONENT_REORDER,1-2-3,3-1-2,LONG-MID-SHORT rank signature changed
2026-07-24,JOINT_REPEAT_CHANGE,16,32,LCM of discrete component repeat periods changed
2026-07-24,REGIME_TO_UNSTABLE,TRANSITION,UNSTABLE,period-regime classification changed
2026-07-25,MID_PERIOD_SHIFT,5.333333333333333,8.0,absolute pct change=0.500
2026-07-25,SHORT_PERIOD_SHIFT,2.2857142857142856,5.333333333333333,absolute pct change=1.333
2026-07-25,COMPONENT_REORDER,3-1-2,1-2-3,LONG-MID-SHORT rank signature changed
2026-07-26,SHORT_PERIOD_SHIFT,5.333333333333333,2.2857142857142856,absolute pct change=0.571
2026-07-27,REGIME_TO_STABLE,UNSTABLE,STABLE,period-regime classification changed
2026-07-29,FFT_SIZE_CHANGE,32,64,frequency-bin resolution changed
2026-07-29,JOINT_REPEAT_CHANGE,32,64,LCM of discrete component repeat periods changed
2026-07-29,REGIME_TO_UNSTABLE,STABLE,UNSTABLE,period-regime classification changed
2026-07-30,MID_PERIOD_SHIFT,2.3703703703703702,5.818181818181818,absolute pct change=1.455
2026-07-30,COMPONENT_REORDER,1-2-3,1-3-2,LONG-MID-SHORT rank signature changed
2026-07-31,REGIME_TO_STABLE,UNSTABLE,STABLE,period-regime classification changed
2026-08-02,MID_PERIOD_SHIFT,5.818181818181818,8.0,absolute pct change=0.375
2026-08-02,REGIME_TO_TRANSITION,STABLE,TRANSITION,period-regime classification changed
2026-08-03,REGIME_TO_STABLE,TRANSITION,STABLE,period-regime classification changed
2026-08-10,REGIME_TO_TRANSITION,STABLE,TRANSITION,period-regime classification changed
2026-08-11,MID_PERIOD_SHIFT,5.818181818181818,10.666666666666666,absolute pct change=0.833
2026-08-11,REGIME_TO_UNSTABLE,TRANSITION,UNSTABLE,period-regime classification changed
2026-08-12,MID_PERIOD_SHIFT,10.666666666666666,7.111111111111111,absolute pct change=0.333
2026-08-12,REGIME_TO_TRANSITION,UNSTABLE,TRANSITION,period-regime classification changed
2026-08-14,REGIME_TO_STABLE,TRANSITION,STABLE,period-regime classification changed
2026-08-15,COMPONENT_REORDER,1-3-2,1-2-3,LONG-MID-SHORT rank signature changed
2026-08-15,REGIME_TO_TRANSITION,STABLE,TRANSITION,period-regime classification changed
