machine,time,minute,value,x_px,y_px
0039,08:54,534,0,0,230
0039,09:06,546,0,6,230
0039,09:17,557,0,12,230
0039,09:25,565,0,16,230
0039,09:36,576,0,22,230
0039,09:47,587,0,28,230
0039,09:55,595,0,32,230
0039,10:06,606,-178,38,232
0039,10:25,625,-711,48,238
0039,11:07,667,-1067,70,242
0039,11:26,686,-1600,80,248
0039,11:45,705,-2489,90,258
0039,12:04,724,-3378,100,268
0039,12:27,747,-3556,112,270
0039,13:24,804,-1600,142,248
0039,13:47,827,1552,154,212
0039,14:06,846,4138,164,182
0039,14:26,866,2759,174,198
0039,14:45,885,2069,184,206
0039,15:08,908,1034,196,218
0039,15:27,927,3448,206,190
0039,15:45,945,7241,216,146
0039,16:08,968,7759,228,140
0039,16:27,987,12931,238,80
0039,16:46,1006,11897,248,92
0039,17:05,1025,11034,258,102
0039,17:28,1048,10000,270,114
0039,17:47,1067,8966,280,126
0039,18:06,1086,14310,290,64
0039,18:25,1105,12586,300,84
0039,18:47,1127,14483,312,62
0039,19:06,1146,13276,322,76
0039,19:25,1165,11897,332,92
0039,19:44,1184,11724,342,94
0039,21:08,1268,11379,386,98
0039,21:27,1287,10172,396,112
0039,23:16,1396,10172,454,112
0040,08:54,534,0,0,230
0040,09:06,546,0,6,230
0040,09:17,557,0,12,230
0040,09:25,565,0,16,230
0040,09:36,576,0,22,230
0040,09:47,587,0,28,230
0040,09:55,595,0,32,230
0040,10:06,606,0,38,230
0040,10:14,614,0,42,230
0040,10:25,625,-1067,48,242
0040,10:37,637,-2133,54,254
0040,10:56,656,-2133,64,254
0040,11:07,667,-178,70,232
0040,11:26,686,2241,80,204
0040,12:46,766,3621,122,188
0040,13:24,804,3103,142,194
0040,13:47,827,1724,154,210
0040,14:06,846,1034,164,218
0040,14:26,866,3448,174,190
0040,14:45,885,2069,184,206
0040,15:08,908,862,196,220
0040,15:27,927,172,206,228
0040,15:45,945,2586,216,200
0040,16:08,968,1724,228,210
0040,16:46,1006,862,248,220
0040,17:05,1025,1379,258,214
0040,17:28,1048,3966,270,184
0040,17:47,1067,4828,280,174
0040,18:06,1086,10172,290,112
0040,18:25,1105,10345,300,110
0040,18:47,1127,8966,312,126
0040,19:06,1146,8276,322,134
0040,19:25,1165,8966,332,126
0040,21:27,1287,8621,396,130
0040,21:45,1305,7414,406,144
0040,23:16,1396,7414,454,144
0041,08:54,534,0,0,230
0041,09:06,546,0,6,230
0041,09:17,557,0,12,230
0041,09:25,565,0,16,230
0041,09:36,576,0,22,230
0041,09:47,587,0,28,230
0041,09:55,595,0,32,230
0041,10:06,606,0,38,230
0041,10:14,614,0,42,230
0041,10:25,625,0,48,230
0041,10:37,637,0,54,230
0041,10:44,644,0,58,230
0041,10:56,656,0,64,230
0041,11:07,667,0,70,230
0041,11:15,675,0,74,230
0041,11:26,686,0,80,230
0041,11:33,693,0,84,230
0041,11:45,705,0,90,230
0041,11:56,716,0,96,230
0041,12:04,724,0,100,230
0041,12:15,735,0,106,230
0041,12:27,747,0,112,230
0041,12:34,754,0,116,230
0041,12:46,766,0,122,230
0041,12:57,777,0,128,230
0041,13:05,785,-178,132,232
0041,13:24,804,-1244,142,244
0041,13:47,827,-1778,154,250
